Country,Year,Population
Sri Lanka,1980,14943645.0
Sri Lanka,1981,15198918.0
Sri Lanka,1982,15438753.0
Sri Lanka,1983,15658442.0
Sri Lanka,1984,15872577.0
Sri Lanka,1985,16092338.0
Sri Lanka,1986,16317995.0
Sri Lanka,1987,16547139.0
Sri Lanka,1988,16773736.0
Sri Lanka,1989,16990575.0
Sri Lanka,1990,17204094.0
Sri Lanka,1991,17416596.0
Sri Lanka,1992,17624457.0
Sri Lanka,1993,17825611.0
Sri Lanka,1994,18011744.0
Sri Lanka,1995,18177572.0
Sri Lanka,1996,18322506.0
Sri Lanka,1997,18449123.0
Sri Lanka,1998,18560798.0
Sri Lanka,1999,18670411.0
Sri Lanka,2000,18776371.0
Sri Lanka,2001,18920275.0
Sri Lanka,2002,19110707.0
Sri Lanka,2003,19303180.0
Sri Lanka,2004,19490431.0
Sri Lanka,2005,19673866.0
Sri Lanka,2006,19870706.0
Sri Lanka,2007,20078655.0
Sri Lanka,2008,20285643.0
Sri Lanka,2009,20482477.0
Sri Lanka,2010,20668557.0
Sri Lanka,2011,20859743.0
Sri Lanka,2012,21017147.0
Sri Lanka,2013,21131756.0
Sri Lanka,2014,21239457.0
Sri Lanka,2015,21336697.0
Sri Lanka,2016,21425494.0
Sri Lanka,2017,21506813.0
Sri Lanka,2018,21670000.0
Sri Lanka,2019,21803000.0
Sri Lanka,2020,21919000.0
Sri Lanka,2021,22156000.0
Sri Lanka,2022,22181000.0
Greece,1980,9642505.0
Greece,1981,9729350.0
Greece,1982,9789513.0
Greece,1983,9846627.0
Greece,1984,9895801.0
Greece,1985,9934300.0
Greece,1986,9967213.0
Greece,1987,10000595.0
Greece,1988,10036983.0
Greece,1989,10089498.0
Greece,1990,10196792.0
Greece,1991,10319927.0
Greece,1992,10399061.0
Greece,1993,10460415.0
Greece,1994,10512922.0
Greece,1995,10562153.0
Greece,1996,10608800.0
Greece,1997,10661259.0
Greece,1998,10720509.0
Greece,1999,10761698.0
Greece,2000,10805808.0
Greece,2001,10862132.0
Greece,2002,10902022.0
Greece,2003,10928070.0
Greece,2004,10955141.0
Greece,2005,10987314.0
Greece,2006,11020362.0
Greece,2007,11048473.0
Greece,2008,11077841.0
Greece,2009,11107017.0
Greece,2010,11121341.0
Greece,2011,11104899.0
Greece,2012,11045011.0
Greece,2013,10965211.0
Greece,2014,10892413.0
Greece,2015,10820883.0
Greece,2016,10775971.0
Greece,2017,10754679.0
Greece,2018,10732882.0
Greece,2019,10721582.0
Greece,2020,10698599.0
Greece,2021,10641221.0
Greece,2022,10566531.0
Brazil,1980,122288383.0
Brazil,1981,125168060.0
Brazil,1982,128065095.0
Brazil,1983,130977370.0
Brazil,1984,133888775.0
Brazil,1985,136783180.0
Brazil,1986,139643355.0
Brazil,1987,142466264.0
Brazil,1988,145253973.0
Brazil,1989,148003411.0
Brazil,1990,150706446.0
Brazil,1991,153336445.0
Brazil,1992,155900790.0
Brazil,1993,158440875.0
Brazil,1994,160980472.0
Brazil,1995,163515328.0
Brazil,1996,166037122.0
Brazil,1997,168546707.0
Brazil,1998,171039804.0
Brazil,1999,173486281.0
Brazil,2000,175873720.0
Brazil,2001,178211881.0
Brazil,2002,180476685.0
Brazil,2003,182629278.0
Brazil,2004,184722043.0
Brazil,2005,186797334.0
Brazil,2006,188820682.0
Brazil,2007,190779453.0
Brazil,2008,192672317.0
Brazil,2009,194517549.0
Brazil,2010,196353492.0
Brazil,2011,198185302.0
Brazil,2012,199977707.0
Brazil,2013,201721767.0
Brazil,2014,203459650.0
Brazil,2015,205188205.0
Brazil,2016,206859578.0
Brazil,2017,208504960.0
Brazil,2018,210166592.0
Brazil,2019,211782878.0
Brazil,2020,213196304.0
Brazil,2021,214326223.0
Brazil,2022,215313498.0
Kuwait,1980,1493870.0
Kuwait,1981,1573026.0
Kuwait,1982,1652921.0
Kuwait,1983,1736028.0
Kuwait,1984,1813986.0
Kuwait,1985,1888975.0
Kuwait,1986,1968093.0
Kuwait,1987,2048477.0
Kuwait,1988,2129153.0
Kuwait,1989,2210013.0
Kuwait,1990,1674938.0
Kuwait,1991,1339500.0
Kuwait,1992,1620633.0
Kuwait,1993,1653645.0
Kuwait,1994,1641106.0
Kuwait,1995,1655222.0
Kuwait,1996,1703318.0
Kuwait,1997,1761468.0
Kuwait,1998,1819544.0
Kuwait,1999,1877427.0
Kuwait,2000,1934901.0
Kuwait,2001,1991674.0
Kuwait,2002,2047364.0
Kuwait,2003,2101506.0
Kuwait,2004,2153481.0
Kuwait,2005,2235403.0
Kuwait,2006,2363409.0
Kuwait,2007,2506769.0
Kuwait,2008,2650930.0
Kuwait,2009,2795550.0
Kuwait,2010,2943356.0
Kuwait,2011,3143825.0
Kuwait,2012,3394663.0
Kuwait,2013,3646518.0
Kuwait,2014,3761584.0
Kuwait,2015,3908743.0
Kuwait,2016,4048085.0
Kuwait,2017,4124904.0
Kuwait,2018,4317185.0
Kuwait,2019,4441100.0
Kuwait,2020,4360444.0
Kuwait,2021,4250114.0
Kuwait,2022,4268873.0
Spain,1980,37491165.0
Spain,1981,37758631.0
Spain,1982,37986012.0
Spain,1983,38171525.0
Spain,1984,38330364.0
Spain,1985,38469512.0
Spain,1986,38584624.0
Spain,1987,38684815.0
Spain,1988,38766939.0
Spain,1989,38827764.0
Spain,1990,38867322.0
Spain,1991,38966376.0
Spain,1992,39157685.0
Spain,1993,39361262.0
Spain,1994,39549108.0
Spain,1995,39724050.0
Spain,1996,39889852.0
Spain,1997,40057389.0
Spain,1998,40223509.0
Spain,1999,40386875.0
Spain,2000,40567864.0
Spain,2001,40850412.0
Spain,2002,41431558.0
Spain,2003,42187645.0
Spain,2004,42921895.0
Spain,2005,43653155.0
Spain,2006,44397319.0
Spain,2007,45226803.0
Spain,2008,45954106.0
Spain,2009,46362946.0
Spain,2010,46576897.0
Spain,2011,46742697.0
Spain,2012,46773055.0
Spain,2013,46620045.0
Spain,2014,46480882.0
Spain,2015,46444832.0
Spain,2016,46484062.0
Spain,2017,46593236.0
Spain,2018,46797754.0
Spain,2019,47134837.0
Spain,2020,47365655.0
Spain,2021,47415750.0
Spain,2022,47615034.0
Gabon,1980,749078.0
Gabon,1981,768904.0
Gabon,1982,789585.0
Gabon,1983,811098.0
Gabon,1984,833417.0
Gabon,1985,856482.0
Gabon,1986,880340.0
Gabon,1987,905016.0
Gabon,1988,930464.0
